Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Qualification 1,Qualification 2,Semifinal,Final,Category
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jaka,JAKI,SLO,111.0,41,,1T2z14,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Luca,BOLDRINI,ITA,462.0,43,,1T2z39,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Paolo,RIVADENEIRA,ECU,135.0,43,,,1T2z25,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Paul,CRISTEA,ROU,95.0,45,,1T1z63,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Leo,SKINNER,GBR,588.0,45,,,1T2z67,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Joanes,ESPARTA FRADE,ESP,101.0,47,,,0T3z012,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,TJ,FOLEY,CAN,102.0,47,,0T4z017,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jan,GURBA,POL,108.0,49,,0T3z010,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Yan,JAKOB,SUI,592.0,49,,,0T3z017,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hryhorii,ILCHYSHYN,UKR,467.0,51,,0T3z021,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Iurii,KOVALEV,RUS,590.0,51,,,0T2z04,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,jose tomas,LEDESMA,CHI,123.0,51,,0T3z021,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Leyroy,HARLEY,AUS,109.0,54,,,0T2z08,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dohyeon,KIM,KOR,115.0,54,,,0T2z08,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Juho,KIM,KOR,116.0,56,,0T2z010,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Taeyun,KIM,KOR,117.0,56,,0T2z010,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Elliot,ERIKSSON,SWE,99.0,58,,,0T1z01,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Filippos,LAVRENTAKIS-RIGAKIS,GRE,121.0,58,,,0T1z01,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Joaquin,URRUTIA,CHI,149.0,60,,0T2z020,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mikel,PAZ Y PUENTE HOFMANN,MEX,132.0,61,,0T1z07,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lukas,ZGRAGGEN,SUI,160.0,61,,,0T1z02,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dimitrios,KALLIKAS,GRE,113.0,63,,0T1z09,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Malthe,SORVAD RØNNENFELT,DEN,586.0,63,,,0T1z03,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,YEVGENIY,BRYAKIN,KAZ,463.0,65,,0T0z00,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jack,BURNINGHAM,RSA,464.0,65,,0T0z00,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hugo,COSANO GARCÍA,ESP,587.0,65,,,0T1z04,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Rafael,ESCARRAGA LOPEZ,MEX,100.0,65,,0T0z00,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jakhongir,KHASANOV,UZB,114.0,65,,0T0z00,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jordan,NIGHTINGALE,RSA,130.0,65,,0T0z00,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Daniel Massimo,ROWOLD,DEN,138.0,65,,,0T1z04,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nicholas,GIANNONE,RSA,104.0,72,,,0T1z06,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Magnus Silas Hjorth,SIERSLEV,DEN,144.0,73,,,0T1z011,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Gustavo,CUNHA,POR,96.0,74,,,0T0z00,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,ZHUSSIP,SEITOV,KAZ,585.0,74,,,0T0z00,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sohta,AMAGASA,JPN,164.0,1,,,4T4z117,4T4z114,4T4z2019,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,leo,FAVOT,FRA,488.0,2,,3T3z54,,3T4z87,2T4z512,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nathan,MARTIN,FRA,532.0,3,,,4T4z118,3T4z139,2T3z34,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Maximillian,MILNE,GBR,489.0,4,,4T4z54,,4T4z66,2T3z37,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Katsura,KONISHI,JPN,194.0,5,,4T4z65,,4T4z129,2T2z22,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Samuel,WINGARDH,SWE,503.0,6,,3T4z37,,3T4z1118,1T4z311,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Shuta,TANAKA,JPN,225.0,7,,4T4z76,,3T3z63,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Elias,ARRIAGADA KRÜGER,GER,534.0,8,,,3T4z36,2T4z310,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lukas,FRANCKAERT,BEL,185.0,9,,3T3z54,,2T4z711,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sam,AVEZOU,FRA,530.0,10,,,3T4z35,2T4z87,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nicolai,UZNIK,AUT,228.0,11,,4T4z96,,2T4z98,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Harold,PEETERS,BEL,206.0,12,,,4T4z86,1T4z311,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zach,RICHARDSON,CAN,529.0,13,,,3T4z1615,1T4z312,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Julien,CLÉMENCE,SUI,174.0,14,,,4T4z118,1T4z511,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Pierre,LE CERF,FRA,531.0,15,,,4T4z65,1T3z34,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Christoph,SCHWEIGER,GER,490.0,16,,3T3z73,,1T3z36,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ziga,ZAJC,SLO,236.0,17,,,4T4z116,1T3z39,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nikolai,MICHUROV,RUS,501.0,18,,4T4z144,,1T3z310,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Matteo,MANZONI,ITA,496.0,19,,3T4z65,,1T2z22,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Michael,O NEILL,IRL,535.0,20,,,3T3z103,0T2z05,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Peter,KURIC,SVK,196.0,21,,3T3z75,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sam,LAVENDER,AUS,198.0,21,,,3T3z129,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mikel Asier,LINACISORO MOLINA,ESP,201.0,23,,,2T4z412,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sam,MCQUEEN,USA,504.0,23,,3T3z77,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Eneko,CARRETERO CRUZ,ESP,170.0,25,,2T4z1016,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Suraj,SINGH,IND,221.0,25,,,2T4z610,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Philipp,GEISENHOFF,SUI,186.0,27,,2T3z29,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Carmel,RAZ ROMEO,ISR,213.0,27,,,2T4z77,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Galo,HERNANDEZ,ECU,190.0,29,,,2T3z48,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Seto,SETO,INA,494.0,29,,2T3z35,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Louis,GUNDOLF,AUT,189.0,31,,2T3z37,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Elijah,KISER,USA,542.0,31,,,2T3z55,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ymer,ALBER,SWE,163.0,33,,2T3z46,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,John,BROCK,USA,541.0,33,,,2T3z66,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mark,CHAN CHONG KIAT,SGP,171.0,35,,,2T3z812,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Amiad,LIFMAN,ISR,200.0,35,,2T3z49,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Finn,BATTERSBY,CAN,487.0,37,,2T3z77,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Šimon,POTŮČEK,CZE,211.0,37,,,2T3z98,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Vyacheslav,KRASNOPEROV,RUS,540.0,39,,,2T3z118,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Štěpán,POTŮČEK,CZE,212.0,39,,1T4z112,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ádám,BAKURECZ,HUN,491.0,41,,1T3z19,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Leonid,OSADCHYI,UKR,205.0,41,,,2T2z43,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Aiden,DUNNE,GBR,533.0,43,,,2T2z55,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nino,GRÜNENFELDER,SUI,188.0,43,,1T3z34,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Klemen,NOVAK,SLO,204.0,45,,1T3z713,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Stoyan,PETROV,BUL,209.0,45,,,2T2z63,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Matteo,BASCHIERI,ITA,536.0,47,,,1T4z18,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Andoni,ESPARTA FRADE,ESP,181.0,47,,1T2z12,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sean,FAULKNER,CAN,182.0,49,,1T2z24,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jesse,RUFFINI,AUS,528.0,49,,,1T4z118,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Seongmin,EOM,KOR,180.0,51,,,1T4z215,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Emilio,RIOS,CHI,214.0,51,,1T2z210,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Oleksii,KRYNETSKYI,UKR,195.0,53,,,1T3z39,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Thomas,WALDIN,NZL,233.0,53,,1T2z44,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Rafael,CORONADO,LUX,175.0,55,,1T2z46,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Cheuk-nam,WONG,HKG,235.0,55,,,1T3z514,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Damien,BLOKKER,RSA,167.0,57,,1T2z96,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ned,MIDDLEHURST,AUS,527.0,57,,,1T2z33,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Albert,ILSAAS SUTHURST,NOR,192.0,59,,,1T2z34,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Chanjun,LEE,KOR,499.0,59,,1T2z108,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Theofanis Ermis,THEOCHAROPOULOS,GRE,226.0,59,,,1T2z34,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Uri,AGMON,ISR,495.0,62,,1T2z1115,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Carl-William,SANDBERG,SWE,502.0,63,,0T2z02,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,David,SHEPPARD,NZL,219.0,63,,,1T1z125,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jacinto,VELASCO LOZANO,MEX,230.0,63,,0T2z02,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Thor,VILLEGAS GARCÍA,MEX,232.0,66,,,0T3z010,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Egor,DULUB,RUS,177.0,67,,,0T3z020,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nickolaie,RIVADENEIRA,ECU,215.0,67,,0T2z03,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hongik,CHOI,KOR,498.0,69,,0T2z05,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Frederik,VIBERG CHRISTIANSEN,DEN,231.0,69,,,0T2z02,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Pedro,AVELLAR,BRA,165.0,71,,,0T2z07,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Kiromal,KATIBIN,INA,493.0,71,,0T2z08,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Aaron,PEÑARANDA,ECU,207.0,71,,0T2z08,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,David Alejandro,SUÁREZ SILVA,MEX,538.0,74,,,0T1z02,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Christopher,COSSER,RSA,176.0,75,,0T2z09,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Joaquin,SQUELLA,CHI,224.0,75,,,0T1z03,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Alexandros,LAVDAS,GRE,197.0,77,,,0T1z05,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mykhayil,TKACHUK,UKR,227.0,77,,0T2z017,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Rahmad,ADI MULYONO,INA,492.0,79,,0T1z02,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sergey,BESMERTNYKH,KAZ,537.0,79,,,0T1z07,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jaco,BURGER,RSA,539.0,81,,,0T1z09,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,ANDREY,BURZHINSKIY,KAZ,497.0,81,,0T1z06,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Pedro,EGG,BRA,179.0,83,,0T0z00,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ratmir,GAFAROV,LTU,500.0,83,,0T0z00,,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Thokchom Boynao,SINGH,IND,222.0,83,,,0T1z012,,,boulder
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Robert,SANTHA,ROU,216.0,86,,,0T0z00,,,boulder
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Janja,GARNBRET,SLO,1.0,1,,5T5z55,,3T4z76,3T3z88,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Akiyo,NOGUCHI,JPN,1.0,2,,,5T5z99,2T4z38,2T2z42,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Shauna,COXSEY,GBR,7.0,3,,3T5z69,,0T3z06,2T2z66,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Ievgeniia,KAZBEKOVA,UKR,5.0,4,,4T5z1414,,1T2z23,1T2z34,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Miho,NONAKA,JPN,3.0,5,,,3T4z48,0T3z05,1T2z56,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Nanako,KURA,JPN,15.0,6,,5T5z1210,,1T2z15,0T1z01,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Futaba,ITO,JPN,4.0,7,,,4T5z56,0T3z07,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Alannah,YIP,CAN,4.0,7,,4T5z88,,0T3z07,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Fanny,GIBERT,FRA,2.0,9,,,4T5z78,0T3z08,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Petra,KLINGLER,SUI,3.0,10,,5T5z87,,0T3z09,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,YueTong,ZHANG,CHN,9.0,11,,,3T4z56,0T2z03,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Lucka,RAKOVEC,SLO,5.0,12,,,4T5z1216,0T2z05,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Chaehyun,SEO,KOR,43.0,13,,5T5z1212,,0T2z08,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Kyra,CONDIE,USA,8.0,14,,4T5z58,,0T2z013,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Anne-Sophie,KOLLER,SUI,17.0,15,,3T5z819,,0T1z01,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Urska,REPUSIC,SLO,19.0,15,,3T5z99,,0T1z01,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Sofya,YOKOYAMA,SUI,23.0,17,,,4T4z2115,0T1z02,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Mia,KRAMPL,SLO,12.0,17,,,3T4z59,0T1z02,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Laura,ROGORA,ITA,16.0,19,,,4T4z1512,0T1z03,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Luce,DOUADY,FRA,14.0,20,,,3T4z45,0T1z06,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Afra,HÖNIG,GER,8.0,21,,,3T4z1110,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Vita,LUKAN,SLO,12.0,21,,3T5z1120,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Natalia,GROSSMAN,USA,13.0,23,,3T5z1215,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Elena,KRASOVSKAYA,RUS,24.0,23,,,3T4z1213,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Jain,KIM,KOR,15.0,25,,,3T4z1217,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Viktoriia,MESHKOVA,RUS,16.0,25,,3T4z611,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Andrea,KÜMIN,SUI,24.0,27,,3T4z614,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Sol,SA,KOR,6.0,27,,,3T4z1415,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Luiza,EMELEVA,RUS,38.0,29,,,3T4z1516,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Ashima,SHIRAISHI,USA,11.0,29,,3T4z1212,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Oceania,MACKENZIE,AUS,11.0,31,,,3T3z86,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Ai,MORI,JPN,9.0,31,,3T3z77,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Alex,JOHNSON,USA,7.0,33,,,2T4z310,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Jessica,PILZ,AUT,2.0,33,,3T3z1010,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Johanna,FÄRBER,AUT,13.0,35,,,2T4z79,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Sandra,LETTNER,AUT,10.0,35,,2T5z813,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Anouck,JAUBERT,FRA,25.0,37,,2T4z611,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Irina,KUZMENKO,RUS,18.0,37,,,2T4z1126,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Mei,KOTAKE,JPN,14.0,39,,2T4z1217,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Elnaz,REKABI,IRI,10.0,39,,,2T3z67,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Di,NIU,CHN,27.0,41,,,2T3z813,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Brooke,RABOUTOU,USA,21.0,41,,2T3z911,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Julia,CHANOURDIE,FRA,6.0,43,,1T5z618,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Tatiana,SHEMULINKINA,RUS,17.0,43,,,2T3z1214,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Valentina,AGUADO,ARG,20.0,45,,,2T3z1410,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Hung Ying,LEE,TPE,18.0,45,,1T3z25,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Alejandra,CONTRERAS,CHI,33.0,47,,,2T2z1313,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Allison,VEST,CAN,20.0,47,,1T3z26,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Sienna,KOPF,USA,21.0,49,,,1T3z37,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Andrea,ROJAS,ECU,37.0,49,,1T2z58,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Tiffany,MELIUS,AUS,36.0,51,,1T2z67,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Margaryta,ZAKHAROVA,UKR,22.0,51,,,1T3z812,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Lan,KIM,KOR,29.0,53,,1T2z78,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Yael,TAUB,ISR,39.0,53,,,1T1z44,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Eliska,ADAMOVSKA,CZE,40.0,55,,0T3z029,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Rong,JIANG,CHN,19.0,55,,,1T1z55,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Aleksandra,MIROSLAW,POL,26.0,57,,,1T1z99,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Iuliia,PANTELEEVA,RUS,22.0,57,,0T2z012,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Lucinda Ann,STIRLING,AUS,42.0,59,,0T1z01,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Puntarika,TUNYAVANICH,THA,36.0,59,,,0T2z07,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Natalia,KALUCKA,POL,37.0,61,,,0T2z020,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,Thais Makino,SHIRAIWA,BRA,26.0,61,,0T1z02,,,,ldering
IFSC Climbing World Championships - Hachioji (JPN) 2019,11  - 21 August 2019,YuZhen,BAIMA,CHN,38.0,63,,0T1z05,,,,ldering
